,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,last_scraped,calendar_last_scraped,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,extra_people,guests_included
1009,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,5,2.0,3.0,2,1.0,350.00,15.00,4
1010,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,3,2.0,2.0,9,1.0,1499.00,0.00,1
1011,Loft,Private room,Real Bed,1,5,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,2.0,0,1.0,79.00,40.00,1
1012,Apartment,Entire home/apt,Real Bed,2,1124,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,1.0,156,1.0,50.00,0.00,1
1013,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,2,0.0,1.0,82,1.0,132.00,0.00,1
1014,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,5,1.0,440.00,0.00,1
1015,House,Entire home/apt,Real Bed,7,1125,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,5,3.0,2.0,0,3.5,2000.00,0.00,1
1016,Apartment,Entire home/apt,Real Bed,27,355,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,0.0,1.0,4,1.0,39.00,22.00,1
1017,Apartment,Private room,Real Bed,7,30,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,2,1.0,1.0,1,1.0,65.00,20.00,1
1018,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,1,1.0,269.00,0.00,1
1019,Apartment,Private room,Real Bed,3,8,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,1,1.0,1.0,3,1.0,100.00,105.00,1
1020,Condominium,Entire home/apt,Real Bed,2,1125,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,3,0.0,2.0,122,1.0,79.00,0.00,1
1021,Apartment,Private room,Real Bed,1,30,flexible,2019-02-18 05:00:00,2019-02-18 05:00:00,2,1.0,1.0,0,1.0,248.00,0.00,1
1022,Townhouse,Entire home/apt,Real Bed,7,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,3,2.0,2.0,38,1.0,198.00,0.00,1
1023,Apartment,Entire home/apt,Real Bed,3,300,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,2,0.0,1.0,101,1.0,70.00,12.00,2
1024,Apartment,Entire home/apt,Real Bed,2,31,moderate,2019-02-16 05:00:00,2019-02-16 05:00:00,4,2.0,2.0,0,2.0,100.00,0.00,1
1025,Apartment,Entire home/apt,Real Bed,6,40,moderate,2019-03-06 05:00:00,2019-03-06 05:00:00,3,1.0,1.0,17,1.0,190.00,0.00,1
1026,Apartment,Entire home/apt,Real Bed,2,180,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,3,1.0,2.0,28,1.0,175.00,39.00,2
1027,House,Entire home/apt,Real Bed,3,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,4,2.0,2.0,0,1.0,399.00,0.00,1
1028,Guest suite,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,7,1.0,5.0,123,1.0,88.00,10.00,1
1029,Apartment,Entire home/apt,Real Bed,3,1125,flexible,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,13,1.0,95.00,15.00,2
1030,Apartment,Entire home/apt,Real Bed,2,160,moderate,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,5,1.0,95.00,0.00,1
1031,Apartment,Private room,Real Bed,1,1125,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,1,1.0,1.0,72,1.0,181.00,100.00,1
1032,Cottage,Entire home/apt,Real Bed,3,90,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,4,1.0,2.0,58,1.0,189.00,15.00,2
1033,Serviced apartment,Entire home/apt,Real Bed,2,29,strict_14_with_grace_period,2019-03-08 05:00:00,2019-03-08 05:00:00,4,2.0,3.0,26,1.0,599.00,10.00,2
1034,Guesthouse,Private room,Real Bed,5,365,strict_14_with_grace_period,2019-03-11 04:00:00,2019-03-11 04:00:00,2,1.0,1.0,2,1.0,298.00,0.00,1
1035,Apartment,Entire home/apt,Real Bed,4,30,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,2.0,5,1.0,150.00,50.00,2
1036,Apartment,Entire home/apt,Real Bed,2,1125,flexible,2019-02-11 05:00:00,2019-02-11 05:00:00,2,1.0,1.0,124,1.0,93.00,0.00,2
1037,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,5,4.0,4.0,1,2.0,300.00,50.00,4
1038,Other,Entire home/apt,Real Bed,5,30,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,3,1.0,2.0,79,1.0,70.00,15.00,2
1039,House,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,2019-03-06 05:00:00,2019-03-06 05:00:00,7,3.0,4.0,22,2.0,175.00,10.00,2
1040,Apartment,Entire home/apt,Real Bed,3,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,2,1.0,240.00,0.00,1
1041,Other,Entire home/apt,Real Bed,2,1125,flexible,2019-03-06 05:00:00,2019-03-06 05:00:00,2,0.0,1.0,110,1.0,65.00,0.00,1
1042,Townhouse,Private room,Real Bed,1,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,0,2.5,119.00,40.00,2
1043,Apartment,Entire home/apt,Real Bed,1,1125,flexible,2019-02-16 05:00:00,2019-02-16 05:00:00,2,1.0,2.0,0,1.0,85.00,15.00,2
1044,Apartment,Entire home/apt,Real Bed,1,60,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,3,1.0,2.0,62,1.0,75.00,20.00,2
1045,House,Entire home/apt,Real Bed,4,21,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,6,4.0,4.0,3,1.5,999.00,0.00,1
1046,Apartment,Private room,Real Bed,14,365,moderate,2019-02-18 05:00:00,2019-02-18 05:00:00,1,1.0,1.0,0,1.0,90.00,0.00,1
1047,Apartment,Entire home/apt,Real Bed,1,1125,moderate,2019-03-08 05:00:00,2019-03-08 05:00:00,4,2.0,5.0,97,1.0,60.00,10.00,2
1048,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,8,2.0,3.0,128,2.0,39.00,15.00,2
1049,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,2,1.0,1.0,3,1.0,135.00,0.00,1
1050,Apartment,Entire home/apt,Pull-out Sofa,1,1125,strict_14_with_grace_period,2019-02-16 05:00:00,2019-02-16 05:00:00,3,1.0,1.0,86,1.0,55.00,15.00,2
1051,Apartment,Private room,Real Bed,4,30,strict_14_with_grace_period,2019-03-07 05:00:00,2019-03-07 05:00:00,1,1.0,1.0,2,1.0,225.00,85.00,1
1052,Loft,Entire home/apt,Real Bed,2,1125,moderate,2019-03-07 05:00:00,2019-03-07 05:00:00,6,2.0,3.0,100,2.0,225.00,0.00,1
1053,Apartment,Entire home/apt,Real Bed,2,60,strict_14_with_grace_period,2019-02-11 05:00:00,2019-02-11 05:00:00,3,0.0,3.0,1,1.0,134.00,40.00,2
